num,dat,guy
0317,2006.01.23,Dave McElfatrick
0318,2006.01.24,Rob DenBleyker
0319,2006.01.25,Matt Melvin
0320,2006.01.26,Rob DenBleyker
0321,2006.01.27,Dave McElfatrick
0322,2006.01.29,Rob DenBleyker
0323,2006.01.28,Matt Melvin
0324,2006.01.30,Rob DenBleyker
0325,2006.02.01,Rob DenBleyker
0326,2006.01.31,Dave McElfatrick
0327,2006.02.02,Matt Melvin
0328,2006.02.03,Rob DenBleyker
0329,2006.02.04,Matt Melvin
0330,2006.02.05,Rob DenBleyker
0331,2006.02.06,Kris Wilson
0332,2006.02.12,Rob DenBleyker
0333,2006.02.07,Dave McElfatrick
0334,2006.02.10,Rob DenBleyker
0335,2006.02.09,Dave McElfatrick
0336,2006.02.11,Matt Melvin
0337,2006.02.13,Kris Wilson
0338,2006.02.14,Rob DenBleyker
0339,2006.02.15,Matt Melvin
0340,2006.02.16,Dave McElfatrick
0341,2006.02.17,Rob DenBleyker
0342,2006.02.18,Rob DenBleyker
0343,2006.02.19,Rob DenBleyker
0344,2006.02.20,Kris Wilson
0345,2006.02.21,Rob DenBleyker
0346,2006.02.22,Dave McElfatrick
0347,2006.02.23,Kris Wilson
0348,2006.02.24,Matt Melvin
0349,2006.02.25,Rob DenBleyker
0350,2006.02.26,Dave McElfatrick
0351,2006.03.08,Rob DenBleyker
0352,2006.03.09,Kris Wilson
0353,2006.03.10,Dave McElfatrick
0354,2006.03.11,Rob DenBleyker
0355,2006.03.12,Kris Wilson
0356,2006.03.13,Dave McElfatrick
0357,2006.03.14,Rob DenBleyker
0358,2006.03.15,Dave McElfatrick
0359,2006.03.16,Kris Wilson
0360,2006.03.22,Rob DenBleyker
0361,2006.03.23,Dave McElfatrick
0362,2006.03.24,Kris Wilson
0363,2006.03.26,Dave McElfatrick
0364,2006.03.27,Rob DenBleyker
0365,2006.03.28,Rob DenBleyker
0366,2006.03.29,Kris Wilson
0367,2006.03.30,Dave McElfatrick
0368,2006.03.31,Rob DenBleyker
0369,2006.04.03,Rob DenBleyker
0370,2006.04.04,Kris Wilson
0371,2006.04.05,Rob DenBleyker
0372,2006.04.07,Kris Wilson
0373,2006.04.06,Dave McElfatrick
0374,2006.04.08,Dave McElfatrick
0375,2006.04.09,Kris Wilson
0376,2006.04.10,Kris Wilson
0377,2006.04.12,Kris Wilson
0378,2006.04.11,Rob DenBleyker
0379,2006.04.13,Dave McElfatrick
0380,2006.04.14,Rob DenBleyker
0381,2006.04.15,Matt Melvin
0382,2006.04.16,Kris Wilson
0383,2006.04.17,Dave McElfatrick
0384,2006.04.18,Dave McElfatrick
0385,2006.04.19,Kris Wilson
0386,2006.04.20,Rob DenBleyker
0387,2006.04.21,Rob DenBleyker
0388,2006.04.22,Matt Melvin
0389,2006.04.23,Kris Wilson
0390,2006.04.24,Matt Melvin
0391,2006.04.25,Kris Wilson
0392,2006.04.26,Dave McElfatrick
0393,2006.04.27,Rob DenBleyker
0394,2006.04.28,Rob DenBleyker
0395,2006.04.29,Dave McElfatrick
0396,2006.04.30,Rob DenBleyker
0397,2006.05.02,Matt Melvin
0398,2006.05.01,Kris Wilson
0399,2006.05.03,Rob DenBleyker
0400,2006.05.04,Rob DenBleyker
0401,2006.05.05,Dave McElfatrick
0402,2006.05.06,Matt Melvin
0403,2006.05.07,Matt Melvin
0404,2006.05.09,Dave McElfatrick
0405,2006.05.08,Kris Wilson
0406,2006.05.10,Matt Melvin
0407,2006.05.12,Kris Wilson
0408,2006.05.11,Matt Melvin
0409,2006.05.13,Rob DenBleyker
0410,2006.05.14,Rob DenBleyker
0411,2006.05.15,Matt Melvin
0412,2006.05.17,Rob DenBleyker
0413,2006.05.18,Matt Melvin
0414,2006.05.19,Rob DenBleyker
0415,2006.05.20,Kris Wilson
0416,2006.05.21,Rob DenBleyker
0417,2006.05.22,Kris Wilson
0418,2006.05.24,Rob DenBleyker
0419,2006.05.23,Matt Melvin
0420,2006.05.25,Rob DenBleyker
0421,2006.05.26,Kris Wilson
0422,2006.05.28,Kris Wilson
0423,2006.05.27,Matt Melvin
0424,2006.05.29,Dave McElfatrick
0425,2006.05.30,Rob DenBleyker
0426,2006.06.01,Kris Wilson
0427,2006.05.31,Matt Melvin
0428,2006.06.02,Dave McElfatrick
0429,2006.06.03,Rob DenBleyker
0430,2006.06.04,Matt Melvin
0431,2006.06.05,Kris Wilson
0432,2006.06.06,Dave McElfatrick
0433,2006.06.07,Kris Wilson
0434,2006.06.09,Matt Melvin
0435,2006.06.08,Rob DenBleyker
0436,2006.06.10,Dave McElfatrick
0437,2006.06.11,Rob DenBleyker
0438,2006.06.12,Kris Wilson
0439,2006.06.13,Matt Melvin
0440,2006.06.14,Rob DenBleyker
0441,2006.06.15,Dave McElfatrick
0442,2006.06.16,Matt Melvin
0443,2006.06.17,Kris Wilson
0444,2006.06.18,Rob DenBleyker
0445,2006.06.19,Dave McElfatrick
0446,2006.06.20,Matt Melvin
0447,2006.06.22,Kris Wilson
0448,2006.06.23,Rob DenBleyker
0449,2006.06.24,Matt Melvin
0450,2006.06.25,Dave McElfatrick
0451,2006.06.26,Kris Wilson
0452,2006.06.27,Dave McElfatrick
0453,2006.06.28,Rob DenBleyker
0454,2006.06.29,Matt Melvin
0455,2006.06.30,Kris Wilson
0456,2006.07.01,Rob DenBleyker
